model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse,calc_preference_recall,calc_indifference_recall,calc_preference_precision,calc_indifference_precision,calc_precision_total
L1,2-add,1e-05,1e-05,0.8971014492753623,0.9983870967741936,0.016129032258064516,0.06666666666666667,0.624,310,690,5,305,619,1,70,0.8971014492753623,0.016129032258064516,0.6691891891891892,0.06666666666666667,0.624
L2,2-add,1e-05,1e-05,0.8781163434903048,1.0,0.0,0.0,0.634,278,722,0,278,634,0,88,0.8781163434903048,0.0,0.6951754385964912,0.0,0.634
L1,2-add,1e-05,1e-05,0.8825448613376835,0.9944852941176471,0.03617571059431524,0.1686746987951807,0.555,387,613,14,373,541,3,69,0.8825448613376835,0.03617571059431524,0.5899672846237731,0.1686746987951807,0.555
L2,2-add,1e-05,1e-05,0.7851851851851852,1.0,0.0,0.0,0.53,325,675,0,325,530,0,145,0.7851851851851852,0.0,0.6198830409356725,0.0,0.53
L1,2-add,1e-05,1e-05,0.8855507868383404,0.9919871794871795,0.009966777408637873,0.038461538461538464,0.622,301,699,3,298,619,5,75,0.8855507868383404,0.009966777408637873,0.6713665943600867,0.038461538461538464,0.622
L2,2-add,1e-05,1e-05,0.8651226158038147,1.0,0.0,0.0,0.635,266,734,0,266,635,0,99,0.8651226158038147,0.0,0.704772475027747,0.0,0.635
L1,2-add,1e-05,1e-05,0.881638846737481,1.0,0.017595307917888565,0.07142857142857142,0.587,341,659,6,335,581,0,78,0.881638846737481,0.017595307917888565,0.6342794759825328,0.07142857142857142,0.587
L2,2-add,1e-05,1e-05,0.8428805237315876,1.0,0.0,0.0,0.515,389,611,0,389,515,0,96,0.8428805237315876,0.0,0.5696902654867256,0.0,0.515
L1,2-add,1e-05,1e-05,0.8992805755395683,0.9936406995230525,0.022950819672131147,0.0958904109589041,0.632,305,695,7,298,625,4,66,0.8992805755395683,0.022950819672131147,0.674217907227616,0.0958904109589041,0.632
L2,game,1e-05,0.01,0.9150805270863837,0.9150805270863837,0.5678233438485805,1.0,0.805,317,683,180,137,625,58,0,0.9150805270863837,0.5678233438485805,0.7621951219512195,1.0,0.805
L2,game,1e-05,0.1,0.8916544655929722,0.8916544655929722,0.7160883280757098,1.0,0.836,317,683,227,90,609,74,0,0.8916544655929722,0.7160883280757098,0.7878395860284605,1.0,0.836
L2,game,1e-05,1e-05,0.9347826086956522,1.0,0.025806451612903226,0.1509433962264151,0.653,310,690,8,302,645,0,45,0.9347826086956522,0.025806451612903226,0.6810982048574445,0.1509433962264151,0.653
L2,game,1e-05,1e-08,0.889894419306184,1.0,0.0,0.0,0.59,337,663,0,337,590,0,73,0.889894419306184,0.0,0.6364617044228694,0.0,0.59
L1,game,1e-05,0.1,0.771513353115727,0.7807807807807807,0.803680981595092,0.9703703703703703,0.782,326,674,262,64,520,146,8,0.771513353115727,0.803680981595092,0.7123287671232876,0.9703703703703703,0.782
