model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L2,2-add,1e-05,1e-10,0.9090909090909091,1.0,0.0,0.0,0.66,274,726,0,274,660,0,66
L2,2-add,1e-05,1e-10,0.7750716332378224,1.0,0.0,0.0,0.541,302,698,0,302,541,0,157
L2,2-add,1e-05,1e-10,0.8631284916201117,1.0,0.0,0.0,0.618,284,716,0,284,618,0,98
L2,game,1e-05,1e-08,0.9381443298969072,1.0,0.0,0.0,0.637,321,679,0,321,637,0,42
L2,2-add,1e-05,1e-10,0.8746268656716418,1.0,0.0,0.0,0.586,330,670,0,330,586,0,84
L1,2-add,1e-05,1e-10,0.9022222222222223,1.0,0.0,0.0,0.609,325,675,0,325,609,0,66
L2,2-add,1e-05,1e-10,0.8702928870292888,1.0,0.0,0.0,0.624,283,717,0,283,624,0,93
L1,2-add,1e-05,1e-10,0.9154518950437318,1.0,0.0,0.0,0.628,314,686,0,314,628,0,58
L1,2-add,1e-05,1e-10,0.9358638743455497,1.0,0.0,0.0,0.715,236,764,0,236,715,0,49
L1,2-add,1e-05,1e-10,0.9170243204577968,1.0,0.0,0.0,0.641,301,699,0,301,641,0,58
L1,2-add,1e-05,1e-10,0.9188405797101449,1.0,0.0,0.0,0.634,310,690,0,310,634,0,56
L1,game,1e-05,0.1,0.7218259629101283,0.7238912732474965,0.7424749163879598,0.9910714285714286,0.728,299,701,222,77,506,193,2
L2,2-add,1e-05,1e-12,0.903663500678426,1.0,0.0,0.0,0.666,263,737,0,263,666,0,71
L1,game,1e-05,0.01,0.8272727272727273,0.9115191986644408,0.20294117647058824,0.5307692307692308,0.615,340,660,69,271,546,53,61
L2,2-add,1e-05,1e-12,0.8890429958391124,1.0,0.0,0.0,0.641,279,721,0,279,641,0,80
L1,2-add,1e-05,1e-12,0.8905109489051095,1.0,0.0,0.0,0.61,315,685,0,315,610,0,75
L2,2-add,1e-05,1e-12,0.841726618705036,1.0,0.0,0.0,0.585,305,695,0,305,585,0,110
L1,2-add,1e-05,1e-12,0.9144460028050491,1.0,0.0,0.0,0.652,287,713,0,287,652,0,61
L2,2-add,1e-05,1e-12,0.8724727838258165,1.0,0.0,0.0,0.561,357,643,0,357,561,0,82
L1,2-add,1e-05,1e-12,0.9051282051282051,1.0,0.0,0.0,0.706,220,780,0,220,706,0,74
L2,2-add,1e-05,1e-12,0.8414814814814815,1.0,0.0,0.0,0.568,325,675,0,325,568,0,107
L1,2-add,1e-05,1e-12,0.9050203527815468,1.0,0.0,0.0,0.667,263,737,0,263,667,0,70
L1,2-add,1e-05,1e-12,0.9366576819407008,1.0,0.0,0.0,0.695,258,742,0,258,695,0,47
L1,game,1e-05,1e-05,0.867816091954023,1.0,0.0,0.0,0.604,304,696,0,304,604,0,92
L2,2-add,1e-05,1e-15,0.8676258992805755,1.0,0.0,0.0,0.603,305,695,0,305,603,0,92
L2,2-add,1e-05,1e-15,0.7989203778677463,1.0,0.0,0.0,0.592,259,741,0,259,592,0,149
L2,2-add,1e-05,1e-15,0.8671140939597315,1.0,0.0,0.0,0.646,255,745,0,255,646,0,99
L2,2-add,1e-05,1e-15,0.9117647058823529,1.0,0.0,0.0,0.62,320,680,0,320,620,0,60
L2,2-add,1e-05,1e-15,0.8300455235204856,1.0,0.0,0.0,0.547,341,659,0,341,547,0,112
L1,2-add,1e-05,1e-15,0.9157458563535912,1.0,0.0,0.0,0.663,276,724,0,276,663,0,61
L1,game,1e-05,1e-08,0.8609929078014185,1.0,0.0,0.0,0.607,295,705,0,295,607,0,98
L1,2-add,1e-05,1e-15,0.892328398384926,1.0,0.0,0.0,0.663,257,743,0,257,663,0,80
L1,2-add,1e-05,1e-15,0.9233983286908078,1.0,0.0,0.0,0.663,282,718,0,282,663,0,55
L1,2-add,1e-05,1e-15,0.9097744360902256,1.0,0.0,0.0,0.605,335,665,0,335,605,0,60
L1,2-add,1e-05,1e-15,0.9297218155197657,1.0,0.0,0.0,0.635,317,683,0,317,635,0,48
