model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L2,game,1e-05,1e-15,0.9377713458755427,1.0,0.0,0.0,0.648,309,691,0,309,648,0,43
L1,game,1e-05,1e-10,0.8766328011611031,1.0,0.0,0.0,0.604,311,689,0,311,604,0,85
L1,game,1e-05,1e-12,0.9043126684636119,1.0,0.0,0.0,0.671,258,742,0,258,671,0,71
L1,game,1e-05,1e-15,0.863568215892054,1.0,0.0,0.0,0.576,333,667,0,333,576,0,91
L2,MacSum,1e-05,0.1,0.33518005540166207,0.3394109396914446,0.9064748201438849,0.9655172413793104,0.494,278,722,252,26,242,471,9
L2,MacSum,1e-05,0.01,0.4404432132963989,0.4622093023255814,0.6294964028776978,0.8373205741626795,0.493,278,722,175,103,318,370,34
L2,MacSum,1e-05,1e-08,0.6024930747922438,1.0,0.0,0.0,0.435,278,722,0,278,435,0,287
L1,MacSum,1e-05,0.1,0.45897079276773295,0.4602510460251046,0.9145907473309609,0.9922779922779923,0.587,281,719,257,24,330,387,2
L2,MacSum,1e-05,1e-05,0.6024930747922438,1.0,0.0,0.0,0.435,278,722,0,278,435,0,287
L1,MacSum,1e-05,1e-05,0.8386648122392212,0.9757281553398058,0.05338078291814947,0.12931034482758622,0.618,281,719,15,266,603,15,101
L1,MacSum,1e-05,0.01,0.6606397774687065,0.6680731364275668,0.8612099644128114,0.968,0.717,281,719,242,39,475,236,8
L1,MacSum,1e-05,1e-08,0.8497913769123783,1.0,0.0,0.0,0.611,281,719,0,281,611,0,108
L2,MacSum,1e-05,0.1,0.5475819032761311,0.5475819032761311,0.8579387186629527,1.0,0.659,359,641,308,51,351,290,0
L2,MacSum,1e-05,0.01,0.3826086956521739,0.39580209895052476,0.6709677419354839,0.9004329004329005,0.472,310,690,208,102,264,403,23
